objectID,title,description,category,type,anchor,url
admin-appsRetrieve,appsRetrieve,Retrieve a object of app.,Admin API,apps,/docs/api/admin/redirect/?v=2024-04-01#/operations/appsRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/appsRetrieve
admin-appsSettingsDestroy,appsSettingsDestroy,Delete an existing app settings.,Admin API,apps,/docs/api/admin/redirect/?v=2024-04-01#/operations/appsSettingsDestroy,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/appsSettingsDestroy
admin-appsSettingsRetrieve,appsSettingsRetrieve,Retrieve a object of all app settings.,Admin API,apps,/docs/api/admin/redirect/?v=2024-04-01#/operations/appsSettingsRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/appsSettingsRetrieve
admin-appsSettingsPartialUpdate,appsSettingsPartialUpdate,Partially update an existing app settings.,Admin API,apps,/docs/api/admin/redirect/?v=2024-04-01#/operations/appsSettingsPartialUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/appsSettingsPartialUpdate
admin-appsSettingsUpdate,appsSettingsUpdate,Update an existing app settings.,Admin API,apps,/docs/api/admin/redirect/?v=2024-04-01#/operations/appsSettingsUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/appsSettingsUpdate
admin-assignedFulfillmentOrdersList,assignedFulfillmentOrdersList,Retrieve assigned fulfillment order requests,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/assignedFulfillmentOrdersList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/assignedFulfillmentOrdersList
admin-cartsList,cartsList,Retrieve a list of all open carts.,Admin API,carts,/docs/api/admin/redirect/?v=2024-04-01#/operations/cartsList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/cartsList
admin-cartsCreate,cartsCreate,Create a new cart.,Admin API,carts,/docs/api/admin/redirect/?v=2024-04-01#/operations/cartsCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/cartsCreate
admin-cartsDestroy,cartsDestroy,Delete an existing cart.,Admin API,carts,/docs/api/admin/redirect/?v=2024-04-01#/operations/cartsDestroy,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/cartsDestroy
admin-cartsRetrieve,cartsRetrieve,Retrieve a cart.,Admin API,carts,/docs/api/admin/redirect/?v=2024-04-01#/operations/cartsRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/cartsRetrieve
admin-cartsUpdate,cartsUpdate,Update an existing cart.,Admin API,carts,/docs/api/admin/redirect/?v=2024-04-01#/operations/cartsUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/cartsUpdate
admin-categoriesList,categoriesList,Retrieve a list of categories.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/categoriesList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/categoriesList
admin-categoriesCreate,categoriesCreate,Create a new category.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/categoriesCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/categoriesCreate
admin-categoriesRetrieve,categoriesRetrieve,Retrieve a category.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/categoriesRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/categoriesRetrieve
admin-categoriesUpdate,categoriesUpdate,Update an existing category.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/categoriesUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/categoriesUpdate
admin-disputesList,disputesList,Retrieve a list of disputes.,Admin API,payments,/docs/api/admin/redirect/?v=2024-04-01#/operations/disputesList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/disputesList
admin-disputesCreate,disputesCreate,Create a new dispute.,Admin API,payments,/docs/api/admin/redirect/?v=2024-04-01#/operations/disputesCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/disputesCreate
admin-disputesDestroy,disputesDestroy,Delete an existing dispute.,Admin API,payments,/docs/api/admin/redirect/?v=2024-04-01#/operations/disputesDestroy,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/disputesDestroy
admin-disputesRetrieve,disputesRetrieve,Retrieve a dispute.,Admin API,payments,/docs/api/admin/redirect/?v=2024-04-01#/operations/disputesRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/disputesRetrieve
admin-disputesPartialUpdate,disputesPartialUpdate,Partial update an existing dispute.,Admin API,payments,/docs/api/admin/redirect/?v=2024-04-01#/operations/disputesPartialUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/disputesPartialUpdate
